Date,Open,High,Low,Close,Percent_Change
2022-01-04,145.55,146.61,143.82,144.42,-0.78
2022-01-05,144.18,144.3,137.52,137.65,-4.53
2022-01-06,137.5,139.69,136.76,137.55,0.04
2022-01-07,137.9,138.25,135.79,137.0,-0.65
2022-01-10,135.1,138.64,133.14,138.57,2.57
2022-01-11,138.18,140.33,136.81,140.02,1.33
2022-01-12,141.55,142.81,141.11,141.65,0.07
2022-01-13,141.84,143.19,138.91,139.13,-1.91
2022-01-14,137.5,141.2,137.5,139.79,1.66
2022-01-18,136.6,137.39,135.62,136.29,-0.23
2022-01-19,136.94,138.4,135.5,135.65,-0.94
2022-01-20,136.51,137.91,133.14,133.51,-2.2
2022-01-21,133.01,134.76,130.0,130.09,-2.2
2022-01-24,126.03,130.78,124.64,130.37,3.45
2022-01-25,128.44,129.34,126.38,126.74,-1.32
2022-01-26,130.59,132.81,127.15,129.24,-1.04
2022-01-27,131.36,132.61,128.95,129.12,-1.71
2022-01-28,130.0,133.37,128.69,133.29,2.53
2022-01-31,134.2,135.84,132.27,135.7,1.12
2022-02-01,137.84,138.2,134.57,137.88,0.03
2022-02-02,151.86,152.1,145.56,148.04,-2.52
2022-02-03,145.29,149.12,142.21,142.65,-1.82
2022-02-04,143.02,144.54,139.82,143.02,-0.0
2022-02-07,143.71,143.85,138.7,138.94,-3.32
2022-02-08,138.99,139.84,136.87,139.21,0.16
2022-02-09,140.85,142.18,140.38,141.45,0.43
2022-02-10,139.5,141.43,138.05,138.6,-0.64
2022-02-11,138.75,139.28,133.29,134.13,-3.33
2022-02-14,133.37,136.17,133.3,135.3,1.45
2022-02-15,137.47,137.9,135.54,136.43,-0.76
2022-02-16,136.43,137.95,134.82,137.49,0.77
2022-02-17,136.15,136.84,132.2,132.31,-2.82
2022-02-18,133.04,133.82,130.31,130.47,-1.93
2022-02-22,129.99,131.9,127.74,129.4,-0.45
2022-02-23,131.08,131.75,127.5,127.58,-2.67
2022-02-24,125.0,133.04,124.76,132.67,6.14
2022-02-25,133.53,135.39,131.76,134.52,0.74
2022-02-28,133.28,135.64,132.83,134.89,1.21
2022-03-01,134.48,136.11,133.38,134.17,-0.23
